method_id,name,category,phase,description,duration,participants
"em-01","Empathy Map","empathy","empathize","Map what users think, feel, say, do","30min","1+"
"em-02","User Interview","empathy","empathize","Structured interview with target users","45min","2"
"em-03","Journey Map","empathy","empathize","Map end-to-end user experience","60min","1+"
"df-01","How Might We","definition","define","Reframe insights as opportunity questions","20min","1+"
"df-02","Point of View","definition","define","User + Need + Insight statement","15min","1"
"id-01","Crazy 8s","ideation","ideate","8 ideas in 8 minutes","8min","1+"
"id-02","SCAMPER","ideation","ideate","Substitute, Combine, Adapt, Modify, Put to use, Eliminate, Reverse","30min","1+"
"id-03","Mind Mapping","ideation","ideate","Visual idea expansion from central theme","20min","1+"
"id-04","Worst Idea","ideation","ideate","Generate deliberately terrible ideas, then invert","15min","1+"
"pt-01","Paper Prototype","prototyping","prototype","Quick sketched interface","30min","1"
"pt-02","Storyboard","prototyping","prototype","Sequential visual narrative","45min","1"
"em-04","Contextual Inquiry","empathy","empathize","Observe users in their natural environment while they work","60min","2"
"em-05","Diary Study","empathy","empathize","Users log experiences over days or weeks","ongoing","5+"
"em-06","Stakeholder Map","empathy","empathize","Map all stakeholders and their relationships to the problem","30min","1+"
"df-03","Affinity Diagram","definition","define","Cluster observations into themes and patterns","30min","2+"
"df-04","Problem Tree","definition","define","Map root causes, core problem, and effects hierarchically","25min","1+"
"id-05","Brainwriting","ideation","ideate","Silent written idea generation passed between participants","20min","3+"
"id-06","Six Thinking Hats","ideation","ideate","Explore ideas from 6 perspectives: facts, emotions, caution, benefits, creativity, process","45min","2+"
"id-07","Random Word Stimulation","ideation","ideate","Use random words as creative triggers for new connections","15min","1+"
"id-08","Reverse Brainstorming","ideation","ideate","Generate ways to cause the problem, then invert","20min","2+"
"id-09","Dot Voting","ideation","ideate","Democratic prioritization of generated ideas","10min","3+"
"pt-03","Wizard of Oz","prototyping","prototype","Human simulates system behavior behind the scenes","60min","2+"
"pt-04","Bodystorming","prototyping","prototype","Physically act out scenarios to discover insights","30min","3+"
"pt-05","Clickable Prototype","prototyping","prototype","Interactive screen-based mockup for user testing","120min","1"
"ts-01","A/B Concept Test","testing","test","Compare two approaches with users","30min","3+"
"ts-02","Usability Testing","testing","test","Observe users completing tasks to find friction points","45min","3+"
"ts-03","Hallway Testing","testing","test","Quick informal test with nearby people for fast feedback","10min","1+"
