method_id,name,category,description,best_for
"rc-01","5 Whys","root-cause","Ask why 5 times to reach root cause","Simple causal chains"
"rc-02","Fishbone Diagram","root-cause","Categorize causes: people, process, technology, environment","Complex multi-factor problems"
"rc-03","TRIZ Contradiction Matrix","inventive","40 inventive principles for resolving contradictions","Technical contradictions"
"rc-04","Theory of Constraints","systems","Find and exploit the bottleneck","Process optimization"
"rc-05","Systems Thinking","systems","Map feedback loops and leverage points","Complex adaptive systems"
"rc-06","First Principles","decomposition","Break down to fundamental truths, reason up","Novel solutions"
"rc-07","Analogical Reasoning","transfer","Apply solutions from other domains","Cross-domain innovation"
"rc-08","Lateral Thinking","creative","Challenge assumptions using provocation and random entry","Breaking mental models"
"rc-09","Kepner-Tregoe Analysis","structured","Systematic situation appraisal, problem analysis, decision analysis","Complex business decisions"
"rc-10","Reframing","perspective","Restate the problem from a different viewpoint or stakeholder","Stuck problems"
"rc-11","Pre-Mortem","prevention","Imagine the project failed, then identify what went wrong","Risk identification"
"rc-12","Pareto Analysis","prioritization","Identify the 20% of causes producing 80% of effects","Resource allocation"
"rc-13","Morphological Analysis","combinatorial","Decompose problem into dimensions, combine solutions systematically","Multi-variable problems"
