type_id,name,structure,description,best_for
"st-01","Hero's Journey","Call > Trials > Transformation > Return","Classic transformation narrative","Product launches, brand stories"
"st-02","Problem-Solution","Problem > Impact > Solution > Result","Direct problem-solving narrative","Sales, pitches, case studies"
"st-03","Before-After-Bridge","Before (pain) > After (vision) > Bridge (how)","Transformation framing","Marketing, fundraising"
"st-04","Nested Loops","Story within story within story","Multi-layered engagement","Complex messages, keynotes"
"st-05","In Medias Res","Start in the middle > Backstory > Resolution","Immediate engagement hook","Conference talks, blog posts"
"st-06","Petal Structure","Central theme > multiple supporting stories","Multi-perspective persuasion","Team narratives, annual reports"
"st-07","Sparkline","What is > What could be (alternating)","Comparison narrative contrasting present with possibility","Visionary talks, change advocacy"
"st-08","Mountain","Setup > Rising tension > Setbacks > Climax > Resolution","Extended tension with obstacles and recovery","Long-form content, documentaries"
"st-09","Converging Ideas","Thread A + Thread B + Thread C > Convergence","Multiple independent threads unite into a single insight","Research presentations, strategy decks"
"st-10","False Start","Begin one way > Unexpected twist > New direction > Resolution","Subvert expectations to recapture attention","Innovation stories, pivot narratives"
"st-11","Rags to Riches","Humble beginning > Struggle > Breakthrough > Triumph","Classic underdog transformation arc","Founder stories, brand origin"
